tipo,id,size_kb,truncado,falta_seccion,llm_bloqueado,sin_citas,todos_cero,cells_dash_pct
mpio,13188,1.6,1,0,0,0,0,0
mpio,13212,1.6,1,0,0,0,0,0
mpio,13222,1.6,1,0,0,0,0,0
mpio,13244,1.6,1,0,0,0,0,0
mpio,13248,1.6,1,0,0,0,1,0
mpio,13268,1.6,1,0,0,0,0,0
mpio,13300,1.6,1,0,0,0,0,0
mpio,13430,1.6,1,0,0,0,0,0
mpio,13433,1.6,1,0,0,0,0,0
mpio,13440,1.6,1,0,0,0,0,0
mpio,13442,1.6,1,0,0,0,0,0
mpio,13458,1.6,1,0,0,0,0,0
mpio,13468,1.6,1,0,0,0,0,0
mpio,13473,1.6,1,0,0,0,0,0
mpio,13490,1.6,1,0,0,0,0,0
mpio,13549,1.6,1,0,0,0,1,0
mpio,13580,1.6,1,0,0,0,0,0
mpio,13600,1.6,1,0,0,0,0,0
mpio,13620,1.6,1,0,0,0,0,0
mpio,13647,1.6,1,0,0,0,0,0
mpio,13650,1.6,1,0,0,0,1,0
mpio,13654,1.6,1,0,0,0,0,0
mpio,13655,1.6,1,0,0,0,0,0
mpio,13657,1.6,1,0,0,0,0,0
mpio,13667,1.6,1,0,0,0,1,0
mpio,13670,1.6,1,0,0,0,0,0
mpio,13673,1.6,1,0,0,0,0,0
mpio,13683,1.6,1,0,0,0,0,0
mpio,13688,1.6,1,0,0,0,0,0
mpio,13744,1.6,1,0,0,0,0,0
mpio,13760,1.6,1,0,0,0,0,0
mpio,13780,1.6,1,0,0,0,0,0
mpio,13810,1.6,1,0,0,0,0,0
mpio,13836,1.6,1,0,0,0,0,0
mpio,13838,1.6,1,0,0,0,0,0
mpio,13873,1.6,1,0,0,0,0,0
mpio,13894,1.6,1,0,0,0,0,0
mpio,15001,1.6,1,0,0,0,0,0
mpio,15022,1.6,1,0,0,0,1,0
mpio,15047,1.6,1,0,0,0,0,0
mpio,15051,1.6,1,0,0,0,0,0
mpio,15087,1.6,1,0,0,0,1,0
mpio,15090,1.6,1,0,0,0,0,0
mpio,15092,1.6,1,0,0,0,0,0
mpio,15097,1.6,1,0,0,0,0,0
mpio,15104,1.6,1,0,0,0,1,0
mpio,15106,1.6,1,0,0,0,1,0
mpio,15109,1.6,1,0,0,0,1,0
mpio,15114,1.6,1,0,0,0,0,0
mpio,15131,1.6,1,0,0,0,1,0
mpio,15135,1.6,1,0,0,0,0,0
mpio,15162,1.6,1,0,0,0,0,0
mpio,15172,1.6,1,0,0,0,1,0
mpio,15176,1.6,1,0,0,0,0,0
mpio,15180,1.6,1,0,0,0,0,0
mpio,15183,1.6,1,0,0,0,0,0
mpio,15185,1.6,1,0,0,0,1,0
mpio,15187,1.6,1,0,0,0,1,0
mpio,15189,1.6,1,0,0,0,0,0
mpio,15204,1.6,1,0,0,0,1,0
mpio,15212,1.6,1,0,0,0,0,0
mpio,15215,1.6,1,0,0,0,1,0
mpio,15218,1.6,1,0,0,0,1,0
